,step1,step2,prediction,gold
0,5,0,yes,yes
1,1,6,yes,no
2,2,7,no,no
3,3,8,no,no
4,4,9,no,no
5,5,10,no,no
6,6,11,yes,no
7,12,7,no,yes
8,8,13,no,no
9,9,14,no,no
10,10,15,yes,no
11,11,16,yes,no
12,17,12,yes,yes
13,18,13,yes,yes
14,19,14,no,yes
15,15,20,yes,no
16,16,21,yes,no
17,17,22,yes,no
18,18,23,yes,no
19,19,24,no,no
20,25,20,yes,yes
21,21,26,yes,no
22,22,27,yes,no
23,28,23,yes,yes
24,24,29,no,no
25,25,30,no,no
26,26,31,no,no
27,32,27,yes,yes
28,28,33,yes,no
29,34,29,yes,yes
30,35,30,yes,yes
31,5,0,yes,yes
32,6,1,yes,yes
33,2,7,yes,no
34,3,8,no,no
35,9,4,yes,yes
36,5,10,yes,no
37,6,11,yes,no
38,7,12,yes,no
39,13,8,no,yes
40,9,14,yes,no
41,5,0,yes,yes
42,6,1,no,yes
43,2,7,yes,no
44,3,8,yes,no
45,4,9,no,no
46,10,5,yes,yes
47,6,11,no,no
48,7,12,yes,no
49,8,13,yes,no
50,9,14,yes,no
51,10,15,yes,no
52,16,11,yes,yes
53,12,17,yes,no
54,13,18,yes,no
55,19,14,yes,yes
56,20,15,yes,yes
57,0,5,no,no
58,6,1,yes,yes
59,7,2,yes,yes
60,3,8,no,no
61,4,9,yes,no
62,10,5,yes,yes
63,6,11,no,no
64,12,7,yes,yes
65,8,13,yes,no
66,14,9,yes,yes
67,0,5,no,no
68,6,1,yes,yes
69,7,2,yes,yes
70,8,3,yes,yes
71,9,4,yes,yes
72,10,5,yes,yes
73,11,6,yes,yes
74,7,12,yes,no
75,13,8,yes,yes
76,9,14,no,no
77,15,10,yes,yes
78,16,11,yes,yes
79,17,12,yes,yes
80,18,13,yes,yes
81,14,19,no,no
82,15,20,yes,no
83,21,16,no,yes
84,22,17,no,yes
85,18,23,yes,no
86,19,24,yes,no
87,25,20,yes,yes
88,26,21,yes,yes
89,27,22,yes,yes
90,23,28,yes,no
91,29,24,yes,yes
92,0,5,yes,no
93,1,6,yes,no
94,7,2,no,yes
95,3,8,yes,no
96,9,4,yes,yes
97,10,5,yes,yes
98,6,11,yes,no
99,7,12,yes,no
100,13,8,yes,yes
101,9,14,no,no
102,0,5,no,no
103,6,1,yes,yes
104,2,7,no,no
105,3,8,no,no
106,4,9,no,no
107,10,5,no,yes
108,11,6,yes,yes
109,12,7,no,yes
110,8,13,no,no
111,14,9,yes,yes
112,0,5,yes,no
113,6,1,yes,yes
114,2,7,no,no
115,3,8,yes,no
116,9,4,yes,yes
117,5,10,yes,no
118,11,6,no,yes
119,7,12,yes,no
120,13,8,yes,yes
121,9,14,yes,no
122,15,10,yes,yes
123,11,16,yes,no
124,12,17,no,no
125,18,13,yes,yes
126,14,19,no,no
127,20,15,no,yes
128,0,5,yes,no
129,6,1,yes,yes
130,7,2,yes,yes
131,8,3,yes,yes
132,4,9,no,no
133,5,10,no,no
134,6,11,yes,no
135,7,12,yes,no
136,8,13,yes,no
