,step1,step2,prediction,gold
0,2,0,yes,no
1,1,3,yes,yes
2,2,4,yes,yes
3,3,5,yes,yes
4,4,6,yes,yes
5,5,7,yes,yes
6,6,8,yes,yes
7,9,7,yes,no
8,8,10,yes,yes
9,9,11,yes,yes
10,10,12,yes,yes
11,11,13,yes,yes
12,14,12,yes,no
13,2,0,yes,no
14,3,1,yes,no
15,2,4,yes,yes
16,3,5,yes,yes
17,4,6,yes,yes
18,5,7,yes,yes
19,6,8,yes,yes
20,9,7,yes,no
21,8,10,yes,yes
22,9,11,yes,yes
23,12,10,yes,no
24,11,13,yes,yes
25,12,14,yes,yes
26,0,2,yes,yes
27,3,1,yes,no
28,2,4,yes,yes
29,5,3,yes,no
30,2,0,yes,no
31,3,1,yes,no
32,4,2,yes,no
33,3,5,yes,yes
34,4,6,yes,yes
35,7,5,yes,no
36,6,8,yes,yes
37,7,9,yes,yes
38,8,10,yes,yes
39,11,9,yes,no
40,0,2,yes,yes
41,3,1,yes,no
42,4,2,yes,no
43,3,5,yes,yes
44,4,6,yes,yes
45,5,7,yes,yes
46,8,6,yes,no
47,7,9,yes,yes
48,8,10,yes,yes
49,9,11,yes,yes
50,10,12,yes,yes
51,11,13,yes,yes
52,14,12,yes,no
53,13,15,yes,yes
54,14,16,yes,yes
55,17,15,yes,no
56,18,16,yes,no
57,17,19,yes,yes
58,20,18,yes,no
59,21,19,yes,no
60,20,22,yes,yes
61,21,23,yes,yes
62,24,22,yes,no
63,23,25,yes,yes
64,26,24,yes,no
65,0,2,yes,yes
66,3,1,yes,no
67,2,4,yes,yes
68,5,3,yes,no
69,6,4,yes,no
70,7,5,yes,no
71,8,6,yes,no
72,9,7,yes,no
73,10,8,yes,no
74,9,11,yes,yes
75,12,10,yes,no
76,11,13,yes,yes
77,14,12,yes,no
78,15,13,yes,no
79,16,14,yes,no
80,17,15,yes,no
81,16,18,yes,yes
82,17,19,yes,yes
83,20,18,yes,no
84,21,19,yes,no
85,20,22,yes,yes
86,21,23,yes,yes
87,24,22,yes,no
88,25,23,yes,no
89,26,24,yes,no
90,25,27,yes,yes
91,28,26,yes,no
92,27,29,yes,yes
93,28,30,yes,yes
94,31,29,yes,no
95,30,32,yes,yes
96,2,0,yes,no
97,3,1,yes,no
98,2,4,yes,yes
99,3,5,yes,yes
100,6,4,yes,no
101,5,7,yes,yes
102,6,8,yes,yes
103,9,7,yes,no
104,8,10,yes,yes
105,9,11,yes,yes
106,10,12,yes,yes
107,13,11,yes,no
108,14,12,yes,no
109,15,13,yes,no
110,14,16,yes,yes
111,17,15,yes,no
112,0,2,yes,yes
113,3,1,yes,no
114,2,4,yes,yes
115,3,5,yes,yes
116,6,4,yes,no
117,5,7,yes,yes
118,8,6,yes,no
119,7,9,yes,yes
120,10,8,yes,no
121,9,11,yes,yes
122,12,10,yes,no
123,11,13,yes,yes
124,12,14,yes,yes
125,15,13,yes,no
126,14,16,yes,yes
127,17,15,yes,no
128,0,2,yes,yes
129,3,1,yes,no
130,4,2,yes,no
131,5,3,yes,no
132,4,6,yes,yes
133,5,7,yes,yes
134,6,8,yes,yes
135,7,9,yes,yes
136,8,10,yes,yes
137,9,11,yes,yes
138,12,10,yes,no
139,11,13,yes,yes
140,12,14,yes,yes
141,13,15,yes,yes
142,14,16,yes,yes
143,15,17,yes,yes
144,16,18,yes,yes
145,17,19,yes,yes
146,20,18,yes,no
147,2,0,yes,no
148,3,1,yes,no
149,2,4,yes,yes
150,5,3,yes,no
151,6,4,yes,no
152,7,5,yes,no
153,8,6,yes,no
154,9,7,yes,no
155,8,10,yes,yes
156,9,11,yes,yes
157,12,10,yes,no
158,13,11,yes,no
159,14,12,yes,no
160,2,0,yes,no
161,3,1,yes,no
162,2,4,yes,yes
163,5,3,yes,no
164,6,4,yes,no
165,5,7,yes,yes
166,8,6,yes,no
167,9,7,yes,no
168,8,10,yes,yes
169,11,9,yes,no
170,12,10,yes,no
171,11,13,yes,yes
172,14,12,yes,no
173,13,15,yes,yes
174,16,14,yes,no
175,17,15,yes,no
176,0,2,yes,yes
177,1,3,yes,yes
178,4,2,yes,no
179,5,3,yes,no
180,6,4,yes,no
181,7,5,yes,no
182,8,6,yes,no
183,7,9,yes,yes
184,10,8,yes,no
185,11,9,yes,no
186,10,12,yes,yes
187,13,11,yes,no
188,14,12,yes,no
189,15,13,yes,no
190,14,16,yes,yes
191,15,17,yes,yes
192,2,0,yes,no
193,3,1,yes,no
194,2,4,yes,yes
195,5,3,yes,no
196,4,6,yes,yes
197,5,7,yes,yes
198,8,6,yes,no
199,9,7,yes,no
200,8,10,yes,yes
201,9,11,yes,yes
202,12,10,yes,no
203,13,11,yes,no
204,14,12,yes,no
205,15,13,yes,no
206,16,14,yes,no
207,17,15,yes,no
208,0,2,yes,yes
209,3,1,yes,no
210,2,4,yes,yes
211,3,5,yes,yes
212,6,4,yes,no
213,7,5,yes,no
214,8,6,yes,no
215,9,7,yes,no
216,10,8,yes,no
217,9,11,yes,yes
218,10,12,yes,yes
219,11,13,yes,yes
220,14,12,yes,no
221,15,13,yes,no
222,14,16,yes,yes
223,15,17,yes,yes
224,18,16,yes,no
225,17,19,yes,yes
226,18,20,yes,yes
227,19,21,yes,yes
228,20,22,yes,yes
229,23,21,yes,no
230,2,0,yes,no
231,3,1,yes,no
232,2,4,yes,yes
233,5,3,yes,no
234,6,4,yes,no
235,7,5,yes,no
236,6,8,yes,yes
237,9,7,yes,no
238,8,10,yes,yes
239,9,11,yes,yes
240,12,10,yes,no
241,11,13,yes,yes
242,12,14,yes,yes
243,15,13,yes,no
244,16,14,yes,no
245,15,17,yes,yes
246,0,2,yes,yes
247,1,3,yes,yes
248,2,4,yes,yes
249,3,5,yes,yes
250,6,4,yes,no
251,7,5,yes,no
252,6,8,yes,yes
253,9,7,yes,no
254,8,10,yes,yes
255,11,9,yes,no
256,0,2,yes,yes
257,3,1,yes,no
258,4,2,yes,no
259,3,5,yes,yes
260,4,6,yes,yes
261,7,5,yes,no
262,6,8,yes,yes
263,7,9,yes,yes
264,10,8,yes,no
265,11,9,yes,no
266,12,10,yes,no
267,11,13,yes,yes
268,12,14,yes,yes
269,15,13,yes,no
270,14,16,yes,yes
271,17,15,yes,no
272,2,0,yes,no
273,3,1,yes,no
274,2,4,yes,yes
275,5,3,yes,no
276,4,6,yes,yes
277,5,7,yes,yes
278,8,6,yes,no
279,9,7,yes,no
280,10,8,yes,no
281,9,11,yes,yes
282,10,12,yes,yes
283,11,13,yes,yes
284,12,14,yes,yes
285,13,15,yes,yes
286,14,16,yes,yes
287,15,17,yes,yes
288,18,16,yes,no
289,17,19,yes,yes
290,20,18,yes,no
291,21,19,yes,no
292,22,20,yes,no
293,23,21,yes,no
294,24,22,yes,no
295,25,23,yes,no
296,26,24,yes,no
297,0,2,yes,yes
298,3,1,yes,no
299,2,4,yes,yes
300,5,3,yes,no
301,6,4,yes,no
302,5,7,yes,yes
303,6,8,yes,yes
304,7,9,yes,yes
305,10,8,yes,no
306,9,11,yes,yes
307,12,10,yes,no
308,13,11,yes,no
309,14,12,yes,no
310,15,13,yes,no
311,14,16,yes,yes
312,17,15,yes,no
313,16,18,yes,yes
314,17,19,yes,yes
315,20,18,yes,no
316,19,21,yes,yes
317,20,22,yes,yes
318,23,21,yes,no
319,2,0,yes,no
320,1,3,yes,yes
321,4,2,yes,no
322,5,3,yes,no
323,6,4,yes,no
324,7,5,yes,no
325,8,6,yes,no
326,9,7,yes,no
327,10,8,yes,no
328,9,11,yes,yes
329,12,10,yes,no
330,11,13,yes,yes
331,12,14,yes,yes
332,2,0,yes,no
333,3,1,yes,no
334,2,4,yes,yes
335,3,5,yes,yes
336,6,4,yes,no
337,5,7,yes,yes
338,6,8,yes,yes
339,9,7,yes,no
340,10,8,yes,no
341,11,9,yes,no
342,12,10,yes,no
343,13,11,yes,no
344,12,14,yes,yes
345,15,13,yes,no
346,16,14,yes,no
347,17,15,yes,no
348,18,16,yes,no
349,17,19,yes,yes
350,20,18,yes,no
351,19,21,yes,yes
352,20,22,yes,yes
353,21,23,yes,yes
354,22,24,yes,yes
355,25,23,yes,no
356,24,26,yes,yes
357,27,25,yes,no
358,28,26,yes,no
359,27,29,yes,yes
360,30,28,yes,no
361,29,31,yes,yes
362,30,32,yes,yes
363,2,0,yes,no
364,1,3,yes,yes
365,2,4,yes,yes
366,3,5,yes,yes
367,6,4,yes,no
368,7,5,yes,no
369,8,6,yes,no
370,9,7,yes,no
371,10,8,yes,no
372,11,9,yes,no
373,10,12,yes,yes
374,13,11,yes,no
375,14,12,yes,no
376,13,15,yes,yes
377,16,14,yes,no
378,17,15,yes,no
379,18,16,yes,no
380,17,19,yes,yes
381,18,20,yes,yes
382,19,21,yes,yes
383,22,20,yes,no
384,23,21,yes,no
385,24,22,yes,no
386,25,23,yes,no
387,26,24,yes,no
388,2,0,yes,no
389,3,1,yes,no
390,4,2,yes,no
391,5,3,yes,no
392,6,4,yes,no
393,5,7,yes,yes
394,8,6,yes,no
395,0,2,yes,yes
396,1,3,yes,yes
397,4,2,yes,no
398,3,5,yes,yes
399,4,6,yes,yes
400,5,7,yes,yes
401,8,6,yes,no
402,7,9,yes,yes
403,10,8,yes,no
404,11,9,yes,no
405,10,12,yes,yes
406,13,11,yes,no
407,12,14,yes,yes
408,13,15,yes,yes
409,14,16,yes,yes
410,15,17,yes,yes
411,2,0,yes,no
412,3,1,yes,no
413,4,2,yes,no
414,3,5,yes,yes
415,6,4,yes,no
416,7,5,yes,no
417,8,6,yes,no
418,7,9,yes,yes
419,10,8,yes,no
420,9,11,yes,yes
421,10,12,yes,yes
422,11,13,yes,yes
423,12,14,yes,yes
424,15,13,yes,no
425,16,14,yes,no
426,15,17,yes,yes
427,16,18,yes,yes
428,19,17,yes,no
429,18,20,yes,yes
430,21,19,yes,no
431,22,20,yes,no
432,21,23,yes,yes
433,24,22,yes,no
434,25,23,yes,no
435,26,24,yes,no
436,27,25,yes,no
437,28,26,yes,no
438,27,29,yes,yes
439,28,30,yes,yes
440,31,29,yes,no
441,30,32,yes,yes
442,33,31,yes,no
443,32,34,yes,yes
444,33,35,yes,yes
445,36,34,yes,no
446,35,37,yes,yes
447,38,36,yes,no
448,0,2,yes,yes
449,3,1,yes,no
450,2,4,yes,yes
451,3,5,yes,yes
452,4,6,yes,yes
453,5,7,yes,yes
454,8,6,yes,no
455,9,7,yes,no
456,8,10,yes,yes
457,11,9,yes,no
458,10,12,yes,yes
459,11,13,yes,yes
460,12,14,yes,yes
461,13,15,yes,yes
462,16,14,yes,no
463,17,15,yes,no
464,16,18,yes,yes
465,17,19,yes,yes
466,20,18,yes,no
467,21,19,yes,no
468,22,20,yes,no
469,23,21,yes,no
470,2,0,yes,no
471,1,3,yes,yes
472,4,2,yes,no
473,5,3,yes,no
474,6,4,yes,no
475,5,7,yes,yes
476,6,8,yes,yes
477,9,7,yes,no
478,8,10,yes,yes
479,11,9,yes,no
480,10,12,yes,yes
481,13,11,yes,no
482,14,12,yes,no
483,0,2,yes,yes
484,1,3,yes,yes
