,step1,step2,prediction,gold
0,5,0,yes,no
1,1,6,yes,yes
2,2,7,yes,yes
3,3,8,yes,yes
4,4,9,yes,yes
5,5,10,yes,yes
6,6,11,yes,yes
7,12,7,yes,no
8,8,13,yes,yes
9,9,14,yes,yes
10,10,15,yes,yes
11,11,16,yes,yes
12,17,12,yes,no
13,18,13,yes,no
14,19,14,yes,no
15,15,20,yes,yes
16,16,21,yes,yes
17,17,22,yes,yes
18,18,23,yes,yes
19,19,24,yes,yes
20,25,20,yes,no
21,21,26,yes,yes
22,22,27,yes,yes
23,28,23,yes,no
24,24,29,yes,yes
25,25,30,yes,yes
26,26,31,yes,yes
27,32,27,yes,no
28,28,33,yes,yes
29,34,29,yes,no
30,35,30,yes,no
31,5,0,yes,no
32,6,1,yes,no
33,2,7,yes,yes
34,3,8,yes,yes
35,9,4,yes,no
36,5,10,yes,yes
37,6,11,yes,yes
38,7,12,yes,yes
39,13,8,yes,no
40,9,14,yes,yes
41,5,0,yes,no
42,6,1,yes,no
43,2,7,yes,yes
44,3,8,yes,yes
45,4,9,yes,yes
46,10,5,yes,no
47,6,11,yes,yes
48,7,12,yes,yes
49,8,13,yes,yes
50,9,14,yes,yes
51,10,15,yes,yes
52,16,11,yes,no
53,12,17,yes,yes
54,13,18,yes,yes
55,19,14,yes,no
56,20,15,yes,no
57,0,5,yes,yes
58,6,1,yes,no
59,7,2,yes,no
60,3,8,yes,yes
61,4,9,yes,yes
62,10,5,yes,no
63,6,11,yes,yes
64,12,7,yes,no
65,8,13,yes,yes
66,14,9,yes,no
67,0,5,yes,yes
68,6,1,yes,no
69,7,2,yes,no
70,8,3,yes,no
71,9,4,yes,no
72,10,5,yes,no
73,11,6,yes,no
74,7,12,yes,yes
75,13,8,yes,no
76,9,14,yes,yes
77,15,10,yes,no
78,16,11,yes,no
79,17,12,yes,no
80,18,13,yes,no
81,14,19,yes,yes
82,15,20,yes,yes
83,21,16,yes,no
84,22,17,yes,no
85,18,23,yes,yes
86,19,24,yes,yes
87,25,20,yes,no
88,26,21,yes,no
89,27,22,yes,no
90,23,28,yes,yes
91,29,24,yes,no
92,0,5,yes,yes
93,1,6,yes,yes
94,7,2,yes,no
95,3,8,yes,yes
96,9,4,yes,no
97,10,5,yes,no
98,6,11,yes,yes
99,7,12,yes,yes
100,13,8,yes,no
101,9,14,yes,yes
102,0,5,yes,yes
103,6,1,yes,no
104,2,7,yes,yes
105,3,8,yes,yes
106,4,9,yes,yes
107,10,5,yes,no
108,11,6,yes,no
109,12,7,yes,no
110,8,13,yes,yes
111,14,9,yes,no
112,0,5,yes,yes
113,6,1,yes,no
114,2,7,yes,yes
115,3,8,yes,yes
116,9,4,yes,no
117,5,10,yes,yes
118,11,6,yes,no
119,7,12,yes,yes
120,13,8,yes,no
121,9,14,yes,yes
122,15,10,yes,no
123,11,16,yes,yes
124,12,17,yes,yes
125,18,13,yes,no
126,14,19,yes,yes
127,20,15,yes,no
128,0,5,yes,yes
129,6,1,yes,no
130,7,2,yes,no
131,8,3,yes,no
132,4,9,yes,yes
133,5,10,yes,yes
134,6,11,yes,yes
135,7,12,yes,yes
136,8,13,yes,yes
137,9,14,yes,yes
138,5,0,yes,no
139,1,6,yes,yes
140,2,7,yes,yes
141,3,8,yes,yes
142,4,9,yes,yes
143,5,10,yes,yes
144,6,11,yes,yes
145,0,5,yes,yes
146,6,1,yes,no
147,7,2,yes,no
148,8,3,yes,no
149,4,9,yes,yes
150,10,5,yes,no
151,11,6,yes,no
152,5,0,yes,no
153,6,1,yes,no
154,7,2,yes,no
155,3,8,yes,yes
156,4,9,yes,yes
157,10,5,yes,no
158,11,6,yes,no
159,12,7,yes,no
160,13,8,yes,no
161,14,9,yes,no
162,0,5,yes,yes
163,6,1,yes,no
164,7,2,yes,no
165,3,8,yes,yes
166,9,4,yes,no
167,10,5,yes,no
168,6,11,yes,yes
169,12,7,yes,no
170,13,8,yes,no
171,9,14,yes,yes
172,15,10,yes,no
173,11,16,yes,yes
174,17,12,yes,no
175,18,13,yes,no
176,14,19,yes,yes
177,15,20,yes,yes
178,5,0,yes,no
179,6,1,yes,no
180,7,2,yes,no
181,8,3,yes,no
182,9,4,yes,no
183,5,10,yes,yes
184,11,6,yes,no
185,12,7,yes,no
186,8,13,yes,yes
187,14,9,yes,no
188,15,10,yes,no
189,16,11,yes,no
190,12,17,yes,yes
191,13,18,yes,yes
192,19,14,yes,no
193,20,15,yes,no
194,0,5,yes,yes
195,6,1,yes,no
196,2,7,yes,yes
197,3,8,yes,yes
198,9,4,yes,no
199,10,5,yes,no
200,6,11,yes,yes
201,7,12,yes,yes
