,step1,step2,prediction,gold
0,1,0,no,yes
1,1,2,no,no
2,2,3,no,no
3,3,4,no,no
4,4,5,no,no
5,5,6,no,no
6,6,7,no,no
7,8,7,no,yes
8,8,9,no,no
9,9,10,no,no
10,10,11,no,no
11,11,12,no,no
12,13,12,no,yes
13,14,13,no,yes
14,15,14,no,yes
15,15,16,no,no
16,16,17,no,no
17,17,18,no,no
18,18,19,no,no
19,19,20,no,no
20,21,20,no,yes
21,21,22,no,no
22,22,23,no,no
23,24,23,no,yes
24,24,25,no,no
25,25,26,no,no
26,26,27,no,no
27,28,27,no,yes
28,28,29,no,no
29,30,29,no,yes
30,31,30,no,yes
31,32,31,no,yes
32,33,32,no,yes
33,33,34,no,no
34,34,35,no,no
35,1,0,no,yes
36,1,2,no,no
37,2,3,no,no
38,3,4,no,no
39,5,4,no,yes
40,5,6,no,no
41,7,6,no,yes
42,8,7,no,yes
43,8,9,no,no
44,9,10,no,no
45,10,11,no,no
46,12,11,no,yes
47,12,13,no,no
48,13,14,no,no
49,0,1,no,no
50,1,2,no,no
51,2,3,no,no
52,4,3,no,yes
53,4,5,no,no
54,5,6,no,no
55,7,6,no,yes
56,8,7,no,yes
57,8,9,no,no
58,10,9,no,yes
59,11,10,no,yes
60,11,12,no,no
61,12,13,no,no
62,14,13,no,yes
63,14,15,no,no
64,16,15,no,yes
65,16,17,no,no
66,18,17,no,yes
67,18,19,no,no
68,20,19,no,yes
69,1,0,no,yes
70,2,1,no,yes
71,3,2,no,yes
72,4,3,no,yes
73,5,4,no,yes
74,5,6,no,no
75,7,6,no,yes
76,7,8,no,no
77,9,8,no,yes
78,10,9,no,yes
79,11,10,no,yes
80,12,11,no,yes
81,12,13,no,no
82,13,14,no,no
83,1,0,no,yes
84,2,1,no,yes
85,2,3,no,no
86,3,4,no,no
87,5,4,no,yes
88,6,5,no,yes
89,7,6,no,yes
90,7,8,no,no
91,9,8,no,yes
92,9,10,no,no
93,10,11,no,no
94,12,11,no,yes
95,12,13,no,no
96,14,13,no,yes
97,15,14,no,yes
98,15,16,no,no
99,16,17,no,no
100,18,17,no,yes
101,18,19,no,no
102,19,20,no,no
103,21,20,no,yes
104,21,22,no,no
105,22,23,no,no
106,23,24,no,no
107,25,24,yes,yes
108,26,25,no,yes
109,27,26,no,yes
110,27,28,no,no
111,29,28,no,yes
112,0,1,no,no
113,2,1,yes,yes
114,2,3,no,no
115,3,4,no,no
116,5,4,no,yes
117,5,6,no,no
118,7,6,no,yes
119,7,8,no,no
120,9,8,no,yes
121,9,10,no,no
122,11,10,no,yes
123,11,12,no,no
124,12,13,no,no
125,14,13,no,yes
126,0,1,no,no
127,2,1,yes,yes
128,2,3,no,no
129,4,3,no,yes
130,5,4,no,yes
131,6,5,no,yes
132,6,7,no,no
133,7,8,no,no
134,8,9,no,no
135,9,10,no,no
136,10,11,no,no
137,11,12,no,no
138,13,12,yes,yes
139,13,14,no,no
140,0,1,no,no
141,1,2,no,no
142,2,3,no,no
143,3,4,no,no
144,4,5,no,no
145,5,6,no,no
146,7,6,no,yes
147,8,7,no,yes
148,9,8,no,yes
149,9,10,no,no
150,11,10,no,yes
151,12,11,no,yes
152,13,12,no,yes
153,14,13,yes,yes
154,15,14,no,yes
155,15,16,no,no
156,16,17,no,no
157,18,17,no,yes
158,19,18,no,yes
159,20,19,no,yes
160,1,0,no,yes
161,2,1,no,yes
162,2,3,no,no
163,4,3,no,yes
164,5,4,no,yes
165,5,6,no,no
166,7,6,no,yes
167,8,7,no,yes
168,8,9,no,no
169,10,9,no,yes
170,11,10,no,yes
171,11,12,no,no
172,13,12,no,yes
173,13,14,no,no
174,1,0,yes,yes
175,2,1,no,yes
176,2,3,no,no
177,3,4,no,no
178,5,4,no,yes
179,6,5,no,yes
180,7,6,no,yes
181,8,7,no,yes
182,9,8,yes,yes
183,9,10,no,no
184,11,10,no,yes
185,1,0,no,yes
186,1,2,no,no
187,3,2,yes,yes
188,4,3,no,yes
189,5,4,no,yes
190,5,6,no,no
191,6,7,no,no
192,8,7,no,yes
193,9,8,no,yes
194,9,10,no,no
195,11,10,no,yes
196,0,1,no,no
197,1,2,no,no
198,3,2,no,yes
199,4,3,no,yes
200,4,5,no,no
201,5,6,no,no
202,7,6,no,yes
203,8,7,no,yes
204,9,8,no,yes
205,10,9,no,yes
206,11,10,no,yes
207,12,11,no,yes
208,12,13,no,no
209,14,13,yes,yes
210,0,1,no,no
211,1,2,no,no
212,3,2,no,yes
213,4,3,no,yes
214,5,4,no,yes
215,6,5,no,yes
216,7,6,no,yes
217,7,8,no,no
218,8,9,no,no
219,9,10,no,no
220,11,10,no,yes
221,12,11,no,yes
222,12,13,no,no
223,13,14,no,no
224,15,14,no,yes
225,15,16,no,no
226,16,17,no,no
227,17,18,no,no
228,18,19,no,no
229,20,19,no,yes
230,1,0,no,yes
231,2,1,no,yes
232,2,3,no,no
233,4,3,yes,yes
234,5,4,no,yes
235,6,5,no,yes
236,6,7,no,no
237,8,7,no,yes
238,8,9,no,no
239,9,10,no,no
240,11,10,no,yes
241,11,12,no,no
242,12,13,no,no
243,14,13,no,yes
244,15,14,no,yes
245,15,16,no,no
246,16,17,no,no
247,17,18,no,no
248,18,19,no,no
249,19,20,no,no
250,1,0,no,yes
251,2,1,no,yes
252,2,3,no,no
253,4,3,no,yes
254,4,5,no,no
255,6,5,no,yes
256,6,7,no,no
257,8,7,no,yes
258,9,8,no,yes
259,9,10,no,no
260,10,11,no,no
261,12,11,no,yes
262,12,13,no,no
263,13,14,no,no
264,1,0,no,yes
265,2,1,no,yes
266,3,2,no,yes
267,3,4,no,no
268,4,5,no,no
269,6,5,no,yes
270,6,7,no,no
271,8,7,no,yes
272,9,8,no,yes
273,10,9,no,yes
274,10,11,no,no
275,12,11,no,yes
276,12,13,no,no
277,13,14,no,no
278,15,14,no,yes
279,16,15,no,yes
280,17,16,no,yes
281,0,1,no,no
282,1,2,no,no
283,2,3,no,no
284,3,4,no,no
285,4,5,no,no
286,5,6,no,no
287,6,7,no,no
288,8,7,no,yes
289,8,9,no,no
290,10,9,no,yes
291,11,10,yes,yes
292,12,11,no,yes
293,13,12,no,yes
294,14,13,no,yes
295,1,0,no,yes
296,2,1,no,yes
297,2,3,no,no
298,4,3,no,yes
299,4,5,no,no
300,6,5,no,yes
301,7,6,no,yes
302,7,8,no,no
303,8,9,no,no
304,9,10,no,no
305,11,10,no,yes
306,11,12,no,no
307,13,12,no,yes
308,14,13,no,yes
309,15,14,no,yes
310,16,15,no,yes
311,16,17,no,no
312,18,17,no,yes
313,18,19,no,no
314,19,20,no,no
315,21,20,no,yes
316,21,22,no,no
