,step1,step2,prediction,gold
0,5,0,no,yes
1,1,6,no,no
2,2,7,no,no
3,3,8,no,no
4,4,9,no,no
5,5,10,no,no
6,6,11,no,no
7,12,7,no,yes
8,8,13,no,no
9,9,14,no,no
10,0,5,no,no
11,1,6,no,no
12,7,2,no,yes
13,8,3,no,yes
14,9,4,no,yes
15,5,10,no,no
16,6,11,no,no
17,7,12,no,no
18,8,13,no,no
19,9,14,no,no
20,5,0,no,yes
21,0,5,no,no
22,1,6,no,no
23,7,2,no,yes
24,3,8,no,no
25,4,9,no,no
26,5,10,no,no
27,11,6,no,yes
28,0,5,no,no
29,6,1,no,yes
30,7,2,no,yes
31,8,3,no,yes
32,9,4,no,yes
33,5,10,no,no
34,6,11,no,no
35,12,7,no,yes
36,8,13,no,no
37,9,14,no,no
38,10,15,no,no
39,16,11,no,yes
40,12,17,no,no
41,18,13,no,yes
42,19,14,no,yes
43,15,20,no,no
44,16,21,no,no
45,17,22,no,no
46,23,18,no,yes
47,19,24,no,no
48,20,25,no,no
49,21,26,no,no
50,0,5,no,no
51,1,6,no,no
52,7,2,no,yes
53,3,8,no,no
54,4,9,no,no
55,10,5,no,yes
56,11,6,no,yes
57,7,12,no,no
58,13,8,no,yes
59,14,9,no,yes
60,10,15,no,no
61,11,16,no,no
62,17,12,no,yes
63,13,18,no,no
64,19,14,no,yes
65,15,20,no,no
66,21,16,no,yes
67,17,22,no,no
68,23,18,no,yes
69,24,19,no,yes
70,25,20,no,yes
71,26,21,no,yes
72,27,22,yes,yes
73,28,23,yes,yes
74,24,29,no,no
75,30,25,no,yes
76,26,31,no,no
77,32,27,yes,yes
78,5,0,yes,yes
79,6,1,yes,yes
80,7,2,no,yes
81,3,8,no,no
82,4,9,no,no
83,10,5,no,yes
84,11,6,no,yes
85,7,12,no,no
86,8,13,no,no
87,14,9,no,yes
88,15,10,no,yes
89,16,11,no,yes
90,12,17,no,no
91,5,0,no,yes
92,1,6,no,no
93,2,7,no,no
94,8,3,no,yes
95,4,9,no,no
96,10,5,no,yes
97,11,6,no,yes
98,7,12,no,no
99,8,13,no,no
100,14,9,no,yes
101,10,15,no,no
102,11,16,no,no
103,17,12,no,yes
104,0,5,no,no
105,1,6,no,no
106,2,7,no,no
107,8,3,yes,yes
108,9,4,no,yes
109,10,5,yes,yes
110,6,11,no,no
111,12,7,no,yes
112,8,13,no,no
113,14,9,no,yes
114,10,15,no,no
115,11,16,no,no
116,17,12,no,yes
117,13,18,no,no
118,19,14,no,yes
119,15,20,no,no
120,5,0,no,yes
121,1,6,no,no
122,7,2,no,yes
123,3,8,no,no
124,4,9,no,no
125,10,5,no,yes
126,6,11,no,no
127,12,7,no,yes
128,8,13,no,no
129,14,9,no,yes
130,5,0,no,yes
131,6,1,no,yes
132,2,7,no,no
133,3,8,no,no
134,4,9,no,no
135,5,10,no,no
136,6,11,no,no
137,7,12,no,no
138,13,8,no,yes
139,9,14,no,no
140,10,15,no,no
141,11,16,no,no
142,12,17,no,no
143,0,5,no,no
144,1,6,no,no
145,2,7,no,no
146,8,3,no,yes
147,9,4,no,yes
148,10,5,no,yes
149,6,11,no,no
150,12,7,no,yes
151,13,8,no,yes
152,14,9,no,yes
153,15,10,no,yes
154,16,11,no,yes
155,12,17,no,no
156,0,5,no,no
157,6,1,no,yes
158,7,2,no,yes
159,8,3,no,yes
160,9,4,no,yes
161,10,5,no,yes
162,6,11,no,no
163,12,7,no,yes
164,13,8,no,yes
165,9,14,no,no
166,15,10,no,yes
167,16,11,no,yes
168,12,17,no,no
169,5,0,no,yes
170,6,1,yes,yes
171,2,7,no,no
172,8,3,no,yes
173,4,9,no,no
174,10,5,no,yes
175,11,6,no,yes
176,7,12,no,no
177,8,13,no,no
178,14,9,yes,yes
179,15,10,no,yes
180,16,11,no,yes
181,17,12,no,yes
182,18,13,no,yes
183,14,19,no,no
184,20,15,no,yes
185,21,16,no,yes
186,17,22,no,no
187,23,18,no,yes
188,5,0,no,yes
189,6,1,no,yes
190,2,7,no,no
191,3,8,no,no
192,9,4,no,yes
193,10,5,no,yes
194,6,11,no,no
195,12,7,no,yes
196,8,13,no,no
197,9,14,no,no
198,15,10,no,yes
199,16,11,yes,yes
200,12,17,no,no
201,0,5,no,no
202,6,1,no,yes
203,7,2,no,yes
204,8,3,no,yes
205,9,4,yes,yes
206,10,5,yes,yes
207,11,6,yes,yes
208,0,5,no,no
209,6,1,no,yes
210,2,7,no,no
211,3,8,no,no
212,9,4,no,yes
213,10,5,no,yes
214,11,6,no,yes
215,12,7,no,yes
216,13,8,no,yes
217,9,14,no,no
218,10,15,no,no
219,11,16,no,no
220,17,12,no,yes
221,5,0,no,yes
222,1,6,no,no
223,2,7,no,no
224,8,3,yes,yes
225,4,9,no,no
226,5,10,no,no
227,6,11,no,no
228,7,12,no,no
229,13,8,no,yes
230,14,9,no,yes
231,15,10,no,yes
232,11,16,no,no
233,17,12,no,yes
234,18,13,no,yes
235,19,14,no,yes
236,15,20,no,no
237,21,16,no,yes
238,17,22,no,no
239,18,23,no,no
240,24,19,no,yes
241,20,25,no,no
242,21,26,no,no
243,5,0,no,yes
244,6,1,no,yes
245,2,7,no,no
246,3,8,no,no
247,4,9,no,no
248,5,10,no,no
249,6,11,no,no
250,12,7,no,yes
251,13,8,no,yes
252,9,14,no,no
253,15,10,no,yes
254,11,16,no,no
255,17,12,no,yes
256,13,18,no,no
257,19,14,no,yes
258,20,15,no,yes
259,16,21,no,no
260,17,22,no,no
261,23,18,no,yes
262,0,5,no,no
263,1,6,no,no
264,7,2,no,yes
265,8,3,no,yes
266,9,4,yes,yes
267,5,10,no,no
268,6,11,no,no
269,12,7,no,yes
270,8,13,no,no
271,14,9,no,yes
272,5,0,no,yes
273,6,1,no,yes
