,step1,step2,prediction,gold
0,5,0,yes,yes
1,1,6,yes,no
2,2,7,yes,no
3,3,8,yes,no
4,4,9,no,no
5,5,10,yes,no
6,6,11,yes,no
7,12,7,yes,yes
8,8,13,yes,no
9,9,14,yes,no
10,0,5,yes,no
11,1,6,no,no
12,7,2,yes,yes
13,8,3,yes,yes
14,9,4,yes,yes
15,5,10,yes,no
16,6,11,yes,no
17,7,12,no,no
18,8,13,yes,no
19,9,14,yes,no
20,5,0,yes,yes
21,0,5,yes,no
22,1,6,yes,no
23,7,2,yes,yes
24,3,8,yes,no
25,4,9,yes,no
26,5,10,yes,no
27,11,6,yes,yes
28,0,5,yes,no
29,6,1,yes,yes
30,7,2,yes,yes
31,8,3,yes,yes
32,9,4,yes,yes
33,5,10,no,no
34,6,11,no,no
35,12,7,yes,yes
36,8,13,yes,no
37,9,14,yes,no
38,10,15,yes,no
39,16,11,yes,yes
40,12,17,yes,no
41,18,13,yes,yes
42,19,14,no,yes
43,15,20,no,no
44,16,21,yes,no
45,17,22,yes,no
46,23,18,yes,yes
47,19,24,no,no
48,20,25,no,no
49,21,26,yes,no
50,0,5,no,no
51,1,6,yes,no
52,7,2,no,yes
53,3,8,yes,no
54,4,9,yes,no
55,10,5,no,yes
56,11,6,yes,yes
57,7,12,yes,no
58,13,8,yes,yes
59,14,9,yes,yes
60,10,15,no,no
61,11,16,yes,no
62,17,12,yes,yes
63,13,18,yes,no
64,19,14,no,yes
65,15,20,no,no
66,21,16,yes,yes
67,17,22,no,no
68,23,18,yes,yes
69,24,19,yes,yes
70,25,20,yes,yes
71,26,21,no,yes
72,27,22,yes,yes
73,28,23,yes,yes
74,24,29,no,no
75,30,25,yes,yes
76,26,31,no,no
77,32,27,no,yes
78,5,0,yes,yes
79,6,1,yes,yes
80,7,2,yes,yes
81,3,8,no,no
82,4,9,yes,no
83,10,5,no,yes
84,11,6,no,yes
85,7,12,no,no
86,8,13,no,no
87,14,9,yes,yes
88,15,10,yes,yes
89,16,11,yes,yes
90,12,17,yes,no
91,5,0,yes,yes
92,1,6,yes,no
93,2,7,yes,no
94,8,3,yes,yes
95,4,9,yes,no
96,10,5,yes,yes
97,11,6,yes,yes
98,7,12,yes,no
99,8,13,yes,no
100,14,9,yes,yes
101,10,15,yes,no
102,11,16,no,no
103,17,12,yes,yes
104,0,5,yes,no
105,1,6,yes,no
106,2,7,yes,no
107,8,3,yes,yes
108,9,4,yes,yes
109,10,5,yes,yes
110,6,11,yes,no
111,12,7,yes,yes
112,8,13,yes,no
113,14,9,no,yes
114,10,15,yes,no
115,11,16,no,no
116,17,12,yes,yes
117,13,18,yes,no
118,19,14,yes,yes
119,15,20,yes,no
120,5,0,yes,yes
121,1,6,no,no
122,7,2,yes,yes
123,3,8,yes,no
124,4,9,yes,no
125,10,5,yes,yes
126,6,11,yes,no
127,12,7,yes,yes
128,8,13,yes,no
129,14,9,no,yes
130,5,0,yes,yes
131,6,1,yes,yes
132,2,7,yes,no
133,3,8,yes,no
134,4,9,yes,no
135,5,10,yes,no
