,step1,step2,prediction,gold
0,1,0,yes,no
1,1,2,yes,yes
2,2,3,yes,yes
3,3,4,yes,yes
4,4,5,yes,yes
5,5,6,yes,yes
6,6,7,yes,yes
7,8,7,yes,no
8,8,9,yes,yes
9,9,10,yes,yes
10,10,11,yes,yes
11,11,12,yes,yes
12,13,12,yes,no
13,14,13,yes,no
14,1,0,yes,no
15,1,2,yes,yes
16,2,3,yes,yes
17,3,4,yes,yes
18,4,5,yes,yes
19,5,6,yes,yes
20,7,6,yes,no
21,7,8,yes,yes
22,8,9,yes,yes
23,10,9,yes,no
24,10,11,yes,yes
25,11,12,yes,yes
26,12,13,yes,yes
27,14,13,no,no
28,0,1,yes,yes
29,2,1,yes,no
30,3,2,yes,no
31,4,3,yes,no
32,5,4,yes,no
33,0,1,yes,yes
34,1,2,yes,yes
35,3,2,yes,no
36,3,4,yes,yes
37,4,5,yes,yes
38,5,6,yes,yes
39,7,6,yes,no
40,7,8,yes,yes
41,9,8,yes,no
42,10,9,yes,no
43,10,11,yes,yes
44,0,1,yes,yes
45,1,2,yes,yes
46,3,2,yes,no
47,3,4,yes,yes
48,4,5,yes,yes
49,5,6,yes,yes
50,6,7,yes,yes
51,7,8,yes,yes
52,9,8,yes,no
53,9,10,yes,yes
54,10,11,yes,yes
55,12,11,yes,no
56,13,12,yes,no
57,13,14,yes,yes
58,15,14,yes,no
59,16,15,yes,no
60,16,17,yes,yes
61,17,18,yes,yes
62,19,18,yes,no
63,19,20,yes,yes
64,21,20,yes,no
65,21,22,yes,yes
66,23,22,yes,no
67,23,24,yes,yes
68,25,24,yes,no
69,26,25,no,no
70,1,0,yes,no
71,2,1,yes,no
72,3,2,yes,no
73,4,3,yes,no
74,4,5,yes,yes
75,6,5,yes,no
76,6,7,yes,yes
77,8,7,yes,no
78,9,8,yes,no
79,10,9,yes,no
80,11,10,yes,no
81,11,12,yes,yes
82,12,13,yes,yes
83,14,13,yes,no
84,15,14,yes,no
85,15,16,yes,yes
86,16,17,yes,yes
87,18,17,yes,no
88,19,18,yes,no
89,20,19,yes,no
90,20,21,yes,yes
91,22,21,yes,no
92,22,23,yes,yes
93,23,24,yes,yes
94,25,24,yes,no
95,25,26,yes,yes
96,27,26,yes,no
97,28,27,yes,no
98,28,29,yes,yes
99,29,30,yes,yes
100,31,30,yes,no
101,31,32,yes,yes
102,0,1,yes,yes
103,2,1,yes,no
104,2,3,yes,yes
105,3,4,yes,yes
106,4,5,yes,yes
107,6,5,yes,no
108,7,6,yes,no
109,8,7,yes,no
110,8,9,yes,yes
111,10,9,yes,no
112,10,11,yes,yes
113,12,11,yes,no
114,12,13,yes,yes
115,13,14,yes,yes
116,15,14,yes,no
117,15,16,yes,yes
118,17,16,yes,no
119,0,1,yes,yes
120,2,1,yes,no
121,2,3,yes,yes
122,4,3,yes,no
123,4,5,yes,yes
124,5,6,yes,yes
125,7,6,yes,no
126,7,8,yes,yes
127,9,8,yes,no
128,9,10,yes,yes
129,11,10,yes,no
130,12,11,yes,no
131,13,12,yes,no
132,13,14,yes,yes
133,14,15,yes,yes
134,15,16,yes,yes
135,16,17,yes,yes
136,0,1,yes,yes
137,1,2,yes,yes
138,3,2,yes,no
139,3,4,yes,yes
140,4,5,yes,yes
141,5,6,yes,yes
142,6,7,yes,yes
143,7,8,yes,yes
144,8,9,yes,yes
145,9,10,yes,yes
146,11,10,yes,no
147,12,11,yes,no
148,13,12,yes,no
149,13,14,yes,yes
150,15,14,yes,no
151,16,15,no,no
152,17,16,yes,no
153,18,17,yes,no
154,19,18,yes,no
155,19,20,yes,yes
156,0,1,yes,yes
157,2,1,yes,no
158,3,2,yes,no
159,4,3,yes,no
160,5,4,yes,no
161,6,5,yes,no
162,6,7,yes,yes
163,8,7,yes,no
164,9,8,yes,no
165,9,10,yes,yes
166,11,10,yes,no
167,12,11,yes,no
168,12,13,yes,yes
169,14,13,no,no
170,1,0,yes,no
171,1,2,yes,yes
172,3,2,yes,no
173,3,4,yes,yes
174,5,4,yes,no
175,6,5,yes,no
176,6,7,yes,yes
177,7,8,yes,yes
178,9,8,yes,no
179,10,9,yes,no
180,11,10,yes,no
181,12,11,yes,no
182,13,12,yes,no
183,13,14,yes,yes
184,15,14,yes,no
185,16,15,yes,no
186,16,17,yes,yes
187,1,0,no,no
188,2,1,yes,no
189,3,2,no,no
190,3,4,yes,yes
191,4,5,yes,yes
192,6,5,yes,no
193,7,6,yes,no
194,7,8,yes,yes
195,9,8,yes,no
196,9,10,yes,yes
197,10,11,yes,yes
198,12,11,yes,no
199,13,12,yes,no
200,13,14,yes,yes
201,14,15,yes,yes
202,16,15,yes,no
203,17,16,yes,no
204,1,0,yes,no
205,2,1,yes,no
206,3,2,yes,no
207,4,3,no,no
208,4,5,yes,yes
209,6,5,yes,no
210,6,7,yes,yes
211,7,8,yes,yes
212,9,8,yes,no
213,10,9,yes,no
214,11,10,yes,no
215,12,11,yes,no
216,13,12,yes,no
217,13,14,yes,yes
218,14,15,yes,yes
219,15,16,yes,yes
220,17,16,yes,no
221,1,0,yes,no
222,1,2,yes,yes
223,2,3,yes,yes
224,4,3,yes,no
225,4,5,yes,yes
226,5,6,yes,yes
227,6,7,yes,yes
228,7,8,yes,yes
229,9,8,yes,no
230,10,9,yes,no
231,11,10,yes,no
232,11,12,yes,yes
233,13,12,yes,no
234,14,13,yes,no
235,15,14,yes,no
236,15,16,yes,yes
237,17,16,yes,no
238,17,18,yes,yes
239,18,19,yes,yes
240,20,19,yes,no
241,20,21,yes,yes
242,21,22,yes,yes
243,23,22,yes,no
244,1,0,yes,no
245,1,2,yes,yes
246,2,3,yes,yes
247,3,4,yes,yes
248,4,5,yes,yes
249,5,6,yes,yes
250,7,6,yes,no
251,8,7,yes,no
252,8,9,yes,yes
253,10,9,yes,no
254,10,11,yes,yes
255,12,11,yes,no
256,12,13,yes,yes
257,14,13,yes,no
