,step1,step2,prediction,gold
0,1,0,yes,no
1,1,2,yes,yes
2,2,3,yes,yes
3,3,4,yes,yes
4,4,5,yes,yes
5,5,6,yes,yes
6,6,7,yes,yes
7,8,7,yes,no
8,8,9,yes,yes
9,9,10,yes,yes
10,10,11,yes,yes
11,11,12,yes,yes
12,13,12,yes,no
13,14,13,yes,no
14,15,14,yes,no
15,15,16,yes,yes
16,16,17,yes,yes
17,17,18,yes,yes
18,18,19,yes,yes
19,19,20,yes,yes
20,21,20,yes,no
21,21,22,yes,yes
22,22,23,yes,yes
23,24,23,yes,no
24,24,25,yes,yes
25,25,26,yes,yes
26,26,27,yes,yes
27,28,27,yes,no
28,28,29,yes,yes
29,30,29,yes,no
30,31,30,yes,no
31,32,31,yes,no
32,33,32,yes,no
33,33,34,yes,yes
34,34,35,yes,yes
35,1,0,yes,no
36,1,2,yes,yes
37,2,3,yes,yes
38,3,4,yes,yes
39,5,4,yes,no
40,5,6,yes,yes
41,7,6,yes,no
42,8,7,yes,no
43,8,9,yes,yes
44,9,10,yes,yes
45,10,11,yes,yes
46,12,11,no,no
47,12,13,yes,yes
48,13,14,yes,yes
49,0,1,yes,yes
50,1,2,yes,yes
51,2,3,yes,yes
52,4,3,yes,no
53,4,5,yes,yes
54,5,6,yes,yes
55,7,6,yes,no
56,8,7,yes,no
57,8,9,yes,yes
58,10,9,yes,no
59,11,10,yes,no
60,11,12,yes,yes
61,12,13,yes,yes
62,14,13,yes,no
63,14,15,yes,yes
64,16,15,yes,no
65,16,17,yes,yes
66,18,17,yes,no
67,18,19,yes,yes
68,20,19,yes,no
69,1,0,yes,no
70,2,1,yes,no
71,3,2,yes,no
72,4,3,yes,no
73,5,4,yes,no
74,5,6,yes,yes
75,7,6,yes,no
76,7,8,yes,yes
77,9,8,yes,no
78,10,9,yes,no
79,11,10,yes,no
80,12,11,yes,no
81,12,13,yes,yes
82,13,14,yes,yes
83,1,0,no,no
84,2,1,yes,no
85,2,3,yes,yes
86,3,4,yes,yes
87,5,4,yes,no
88,6,5,yes,no
89,7,6,yes,no
90,7,8,yes,yes
91,9,8,yes,no
92,9,10,yes,yes
93,10,11,yes,yes
94,12,11,yes,no
95,12,13,yes,yes
96,14,13,yes,no
97,15,14,yes,no
98,15,16,yes,yes
99,16,17,yes,yes
100,18,17,yes,no
101,18,19,yes,yes
102,19,20,yes,yes
103,21,20,yes,no
104,21,22,yes,yes
105,22,23,yes,yes
106,23,24,yes,yes
107,25,24,no,no
108,26,25,yes,no
109,27,26,yes,no
110,27,28,yes,yes
111,29,28,no,no
112,0,1,yes,yes
113,2,1,yes,no
114,2,3,yes,yes
115,3,4,yes,yes
116,5,4,yes,no
117,5,6,yes,yes
118,7,6,yes,no
119,7,8,yes,yes
120,9,8,yes,no
121,9,10,yes,yes
122,11,10,yes,no
123,11,12,yes,yes
124,12,13,yes,yes
125,14,13,no,no
126,0,1,yes,yes
127,2,1,yes,no
128,2,3,yes,yes
129,4,3,yes,no
130,5,4,yes,no
131,6,5,yes,no
132,6,7,yes,yes
133,7,8,yes,yes
134,8,9,yes,yes
135,9,10,yes,yes
136,10,11,yes,yes
137,11,12,yes,yes
138,13,12,no,no
139,13,14,yes,yes
140,0,1,yes,yes
141,1,2,yes,yes
142,2,3,yes,yes
143,3,4,yes,yes
144,4,5,yes,yes
145,5,6,yes,yes
146,7,6,yes,no
147,8,7,yes,no
148,9,8,yes,no
149,9,10,yes,yes
150,11,10,yes,no
151,12,11,yes,no
152,13,12,yes,no
153,14,13,yes,no
154,15,14,yes,no
155,15,16,yes,yes
156,16,17,yes,yes
157,18,17,yes,no
158,19,18,yes,no
159,20,19,yes,no
160,1,0,yes,no
161,2,1,yes,no
162,2,3,yes,yes
163,4,3,yes,no
164,5,4,yes,no
165,5,6,yes,yes
166,7,6,yes,no
167,8,7,yes,no
168,8,9,yes,yes
169,10,9,no,no
170,11,10,yes,no
171,11,12,yes,yes
172,13,12,yes,no
173,13,14,yes,yes
174,1,0,yes,no
175,2,1,yes,no
176,2,3,yes,yes
177,3,4,yes,yes
178,5,4,yes,no
179,6,5,yes,no
180,7,6,yes,no
181,8,7,yes,no
182,9,8,yes,no
183,9,10,yes,yes
184,11,10,yes,no
185,1,0,no,no
186,1,2,yes,yes
187,3,2,no,no
188,4,3,yes,no
189,5,4,yes,no
190,5,6,yes,yes
191,6,7,yes,yes
192,8,7,yes,no
193,9,8,yes,no
194,9,10,yes,yes
195,11,10,yes,no
196,0,1,yes,yes
197,1,2,yes,yes
198,3,2,yes,no
199,4,3,yes,no
200,4,5,yes,yes
201,5,6,yes,yes
202,7,6,yes,no
203,8,7,yes,no
204,9,8,yes,no
205,10,9,yes,no
206,11,10,yes,no
207,12,11,yes,no
208,12,13,yes,yes
209,14,13,no,no
210,0,1,yes,yes
211,1,2,yes,yes
212,3,2,yes,no
213,4,3,yes,no
214,5,4,yes,no
215,6,5,yes,no
216,7,6,yes,no
217,7,8,yes,yes
218,8,9,yes,yes
219,9,10,yes,yes
220,11,10,yes,no
221,12,11,yes,no
222,12,13,yes,yes
223,13,14,yes,yes
224,15,14,yes,no
225,15,16,yes,yes
226,16,17,yes,yes
227,17,18,yes,yes
228,18,19,yes,yes
229,20,19,yes,no
230,1,0,yes,no
231,2,1,yes,no
232,2,3,yes,yes
233,4,3,yes,no
234,5,4,yes,no
235,6,5,yes,no
236,6,7,yes,yes
237,8,7,yes,no
238,8,9,yes,yes
239,9,10,yes,yes
240,11,10,yes,no
241,11,12,yes,yes
242,12,13,yes,yes
243,14,13,yes,no
244,15,14,yes,no
245,15,16,yes,yes
246,16,17,yes,yes
247,17,18,yes,yes
248,18,19,yes,yes
249,19,20,yes,yes
250,1,0,yes,no
251,2,1,yes,no
252,2,3,yes,yes
253,4,3,yes,no
254,4,5,yes,yes
255,6,5,yes,no
256,6,7,yes,yes
257,8,7,no,no
